side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
Red,ADC,JackeyLove,Invictus Gaming,Kai'Sa,Jarvan IV,Pantheon,Galio,LeBlanc,Kled,33.78333333,1,3,2,5,17,11,0,0,0,0,0,0,0,5.071616667,0.08880118402,0.1184015787,0.8288110508,0,9.835183333,3,2,1,2,0,0,0,1,0,0,0,,1,14.4515,0,0,11,5,1,30.99605,1,0,12512,370.3601381,0.1904211119,0.248527409,13,0.3848051307,0.1203703704,11,0.3256043414,6,6,,,15141,317.621707,13850,-0.07972270364,295,38,22,8,9.856931426,3191,3619,-428,5196,5990,-794,3223,3476,-253,74,76,-2,122,130,-8
Red,Support,Baolan,Invictus Gaming,Fiddlesticks,Jarvan IV,Pantheon,Galio,LeBlanc,Kled,33.78333333,1,2,3,8,17,11,1,0,0,0,0,0,0,5.071616667,0.05920078934,0.05920078934,0.8288110508,0,9.835183333,3,2,0,0,0,0,0,0,0,0,0,,1,14.4515,0,0,11,5,1,30.99605,1,0,4963,146.9067588,0.07553228728,0.09779412446,62,1.83522447,0.5740740741,11,0.3256043414,21,22,,,8633,124.9823384,8000,-0.08955223881,18,0,0,0,0.5328071041,2201,2484,-283,3172,4678,-1506,2833,2418,415,6,2,4,7,8,-1
Blue,Team,Team,Team Liquid,,Kayle,Qiyana,Syndra,Fiora,Jayce,33.78333333,0,11,17,19,11,17,,,,,1,1,0,5.071616667,0.3256043414,0.5032067094,0.8288110508,0,9.835183333,2,3,2,3,0,1,0,1,0,0,1,14.13,0,14.4515,1,1,5,11,0,30.99605,0,1,50682,1500.207203,,,107,3.16724223,1,46,1.361618155,32,38,0.5,0.375,58772,1086.885052,57583,-0.05517043392,838,196,128,13,30.60680809,16277,15862,415,25747,24931,816,19278,19089,189,279,325,-46,439,490,-51
Red,Team,Team,Invictus Gaming,,Jarvan IV,Pantheon,Galio,LeBlanc,Kled,33.78333333,1,17,11,30,17,11,,,,,0,0,1,5.071616667,0.5032067094,0.3256043414,0.8288110508,1,9.835183333,3,2,3,2,1,0,0,2,0,0,0,14.13,1,14.4515,0,0,11,5,1,30.99605,1,0,65707,1944.953133,,,108,3.196842625,1,53,1.568820918,42,45,0.6315789474,0.4202898551,65229,1278.0148,60850,0.05517043392,890,238,160,23,33.38924519,15862,16277,-415,24931,25747,-816,19089,19278,-189,325,279,46,490,439,51
Blue,Top,Ziv,AHQ e-Sports Club,Rumble,Renekton,Gragas,LeBlanc,Vladimir,Irelia,27.6,0,3,1,3,6,9,0,0,0,0,0,1,0,11.68925,0.1086956522,0.07246376812,0.5434782609,0,6.5357,1,3,0,0,0,0,0,0,0,0,0,,1,15.55446667,0,0,1,9,0,23.055,0,1,11164,404.4927536,0.3668989089,0.2639287033,12,0.4347826087,0.1188118812,2,0.07246376812,3,3,,,9944,227.9043478,9110,-0.005255090869,202,4,1,0,7.463768116,3102,3386,-284,4766,5363,-597,4636,4699,-63,82,88,-6,110,115,-5
Blue,Jungle,Alex,AHQ e-Sports Club,Jarvan IV,Renekton,Gragas,LeBlanc,Vladimir,Irelia,27.6,0,0,3,4,6,9,0,0,0,0,0,1,0,11.68925,0,0.07246376812,0.5434782609,0,6.5357,1,3,1,1,0,1,0,0,0,0,0,,1,15.55446667,0,0,1,9,0,23.055,0,1,2781,100.7608696,0.09139608256,0.1830737471,13,0.4710144928,0.1287128713,16,0.5797101449,11,13,,,8017,158.0855072,7725,-0.07176287051,27,116,81,4,5.18115942,3013,3292,-279,4627,4925,-298,3172,3333,-161,55,67,-12,81,92,-11
Blue,Middle,Rainbow,AHQ e-Sports Club,Qiyana,Renekton,Gragas,LeBlanc,Vladimir,Irelia,27.6,0,2,1,1,6,9,0,0,0,0,1,0,0,11.68925,0.07246376812,0.1086956522,0.5434782609,0,6.5357,1,3,0,1,0,0,0,0,0,0,0,,1,15.55446667,0,0,1,9,0,23.055,0,1,8195,296.9202899,0.2693243066,0.1912557484,25,0.9057971014,0.2475247525,5,0.1811594203,10,11,,,8212,165.1507246,7925,-0.3617571059,169,4,4,0,6.268115942,2967,3606,-639,4674,6409,-1735,4077,5144,-1067,73,101,-28,105,163,-58
Blue,ADC,Wako,AHQ e-Sports Club,Xayah,Renekton,Gragas,LeBlanc,Vladimir,Irelia,27.6,0,1,2,0,6,9,0,0,0,0,0,0,0,11.68925,0.03623188406,0.03623188406,0.5434782609,0,6.5357,1,3,0,1,0,0,0,0,0,0,0,,1,15.55446667,0,0,1,9,0,23.055,0,1,4972,180.1449275,0.1634021296,0.2651035548,12,0.4347826087,0.1188118812,5,0.1811594203,5,6,,,9972,228.9188406,9650,-0.1078431373,241,16,16,0,9.311594203,3262,3310,-48,4966,5460,-494,3069,3266,-197,85,91,-6,124,140,-16
Blue,Support,Ysera,AHQ e-Sports Club,Rakan,Renekton,Gragas,LeBlanc,Vladimir,Irelia,27.6,0,0,2,4,6,9,0,0,0,0,0,1,0,11.68925,0,0.03623188406,0.5434782609,0,6.5357,1,3,0,0,0,0,0,0,0,0,0,,1,15.55446667,0,0,1,9,0,23.055,0,1,3316,120.1449275,0.1089785724,0.09663824645,39,1.413043478,0.3861386139,8,0.2898550725,9,11,,,5957,83.44782609,5925,0.02997858672,9,0,0,0,0.3260869565,2194,2089,105,3299,3307,-8,2863,2752,111,1,15,-14,2,25,-23
Red,Top,Nuguri,Damwon Gaming,Camille,Pantheon,Syndra,Kayle,Rek'Sai,Twisted Fate,27.6,1,2,1,6,9,6,0,0,0,0,0,0,0,11.68925,0.07246376812,0.1086956522,0.5434782609,0,6.5357,3,1,0,0,0,0,0,0,0,0,1,,0,15.55446667,1,1,9,1,1,23.055,1,0,6512,235.942029,0.2215267383,0.2394840606,10,0.3623188406,0.1176470588,7,0.2536231884,3,3,,,11671,290.4768116,9158,0.005255090869,220,16,4,5,8.550724638,3386,3102,284,5363,4766,597,4699,4636,63,88,82,6,115,110,5
Red,Jungle,Canyon,Damwon Gaming,Lee Sin,Pantheon,Syndra,Kayle,Rek'Sai,Twisted Fate,27.6,1,2,2,3,9,6,0,0,0,0,0,0,1,11.68925,0.07246376812,0,0.5434782609,1,6.5357,3,1,1,1,0,1,0,0,0,0,1,,0,15.55446667,1,1,9,1,1,23.055,1,0,4036,146.2318841,0.1372975915,0.1746630502,16,0.5797101449,0.1882352941,7,0.2536231884,9,12,,,9501,211.8536232,8300,0.07176287051,13,138,85,23,5.471014493,3292,3013,279,4925,4627,298,3333,3172,161,67,55,12,92,81,11
Red,Middle,ShowMaker,Damwon Gaming,Akali,Pantheon,Syndra,Kayle,Rek'Sai,Twisted Fate,27.6,1,3,1,5,9,6,1,0,0,0,0,0,0,11.68925,0.1086956522,0.07246376812,0.5434782609,0,6.5357,3,1,1,0,0,0,0,1,0,0,1,,0,15.55446667,1,1,9,1,1,23.055,1,0,9388,340.1449275,0.3193631787,0.2616187927,8,0.2898550725,0.09411764706,6,0.2173913043,3,3,,,12412,317.3246377,11425,0.3617571059,233,30,17,4,9.528985507,3606,2967,639,6409,4674,1735,5144,4077,1067,101,73,28,163,105,58
Red,ADC,Nuclear,Damwon Gaming,Kai'Sa,Pantheon,Syndra,Kayle,Rek'Sai,Twisted Fate,27.6,1,1,1,4,9,6,0,0,0,0,0,0,0,11.68925,0.03623188406,0.03623188406,0.5434782609,0,6.5357,3,1,1,0,0,0,1,0,0,0,1,,0,15.55446667,1,1,9,1,1,23.055,1,0,6981,252.9347826,0.23748129,0.2144517995,11,0.3985507246,0.1294117647,9,0.3260869565,3,4,,,10833,260.1144928,10750,0.1078431373,241,19,15,0,9.420289855,3310,3262,48,5460,4966,494,3266,3069,197,91,85,6,140,124,16
Red,Support,BeryL,Damwon Gaming,Leona,Pantheon,Syndra,Kayle,Rek'Sai,Twisted Fate,27.6,1,1,1,6,9,6,0,0,0,0,0,0,0,11.68925,0.03623188406,0,0.5434782609,0,6.5357,3,1,0,0,0,0,0,0,0,0,1,,0,15.55446667,1,1,9,1,1,23.055,1,0,2479,89.81884058,0.08433120152,0.109782297,40,1.449275362,0.4705882353,12,0.4347826087,12,12,,,7329,133.157971,5750,-0.02997858672,56,0,0,0,2.028985507,2089,2194,-105,3307,3299,8,2752,2863,-111,15,1,14,25,2,23
Blue,Team,Team,AHQ e-Sports Club,,Renekton,Gragas,LeBlanc,Vladimir,Irelia,27.6,0,6,9,12,6,9,,,,,1,1,0,11.68925,0.2173913043,0.3260869565,0.5434782609,0,6.5357,1,3,1,3,0,1,0,0,0,0,0,15.53571667,1,15.55446667,0,0,1,9,0,23.055,0,1,30428,1102.463768,,,101,3.65942029,1,36,1.304347826,38,44,0.5757575758,0.3269230769,42102,863.5072464,40335,-0.1177815628,648,140,102,4,28.55072464,14538,15683,-1145,22332,25464,-3132,17817,19194,-1377,296,362,-66,422,535,-113
